Englisch,Deutsch,inert,untätig
Englisch,Deutsch,"Persuasion
",Überzeugung
Englisch,Deutsch,"confluence
",Zusammenfluss
Englisch,Deutsch,"construed
",ausgelegt
Englisch,Deutsch,cognition,Erkenntnis
Englisch,Deutsch,refinement relation,Verfeinerungsbeziehung
Englisch,Deutsch,lattice,Gitter
Englisch,Deutsch,appraisal,Bewertung
Englisch,Deutsch,remedied,behoben
Englisch,Deutsch,pervaded,durchdrungen
Englisch,Deutsch,demarcated,abgegrenzt
Englisch,Deutsch,Ingratiating,Einschmeichelnd
Englisch,Deutsch,coercive,Zwang
Englisch,Deutsch,pugnitive,kämpferisch
Englisch,Deutsch,sift,sieben
Englisch,Deutsch,vigilance,Wachsamkeit
Englisch,Deutsch,culprits,Schuldige
Englisch,Deutsch,intimidated,eingeschüchtert
Englisch,Deutsch,peril,Tücke
Englisch,Deutsch,laced,geschnürt
Englisch,Deutsch,steer,steuern
Englisch,Deutsch,allure,locken
Englisch,Deutsch,foster,fördern
Englisch,Deutsch,posited,gesetzt
Englisch,Deutsch,Municipalities,Gemeinden
Englisch,Deutsch,whereas,wohingegen
Englisch,Deutsch,abatement,Minderung
Englisch,Deutsch,pursuant,gemäß
Englisch,Deutsch,indignation,Empörung
Englisch,Deutsch,resentment,Groll
Englisch,Deutsch,reprimanded,gerügt
Englisch,Deutsch,reappraisal,Neubewertung
Deutsch,Englisch,überreden,persuade
Englisch,Deutsch,dissecting,sezieren
Englisch,Deutsch,conduits,Leitungen
Englisch,Deutsch,rampant,zügellos
Englisch,Deutsch,heredity,Vererbung
Englisch,Deutsch,deviance,Abweichung
Englisch,Deutsch,reside,wohnen
Englisch,Deutsch,conflated,verschmolzen
Englisch,Deutsch,retaliating,Vergeltung
Englisch,Deutsch,contagion,Ansteckung
Englisch,Deutsch,unanimously,einstimmig
Englisch,Deutsch,disseminate,verbreiten
Englisch,Deutsch,transgressions,Übertretungen
Englisch,Deutsch,conveyed,übermittelt
Englisch,Deutsch,deception,Täuschung
Englisch,Deutsch,inducements,Anreize
Englisch,Deutsch,accompanied,begleitet
Englisch,Deutsch,compliance,Beachtung
Englisch,Deutsch,obedience,Gehorsam
Englisch,Deutsch,cogent,überzeugend
Englisch,Deutsch,kinship,Verwandtschaft
Englisch,Deutsch,preclude,ausschließen
Englisch,Deutsch,pervasiveness,Allgegenwart
Englisch,Deutsch,persistently,beharrlich
Englisch,Deutsch,dabbling,plantschen
Englisch,Deutsch,mundane,banal
Englisch,Deutsch,pertained,gehörte
Englisch,Deutsch,perennial,mehrjährige
Englisch,Deutsch,delving,vertiefen
Englisch,Deutsch,attenuates,dämpft
Englisch,Deutsch,frivolous,frivol
Englisch,Deutsch,lest,damit nicht
Englisch,Deutsch,persisted,beharrte
Englisch,Deutsch,treacherous,tückisch
Englisch,Deutsch,consternation,Bestürzung
Englisch,Deutsch,strung,aufgereiht
Englisch,Deutsch,utter despair,äußerste Verzweiflung
Englisch,Deutsch,exasperated,verärgert
Englisch,Deutsch,solicit,erbitten
Englisch,Deutsch,fortuitous,zufällig
Englisch,Deutsch,impertinent,unverschämt
Englisch,Deutsch,lingered,verweilte
Englisch,Deutsch,precipitously,steil
Englisch,Deutsch,quibble,streiten
Englisch,Deutsch,venerable,ehrwürdig
Englisch,Deutsch,forthright,offen
Englisch,Deutsch,assuredly,ganz gewiss
Englisch,Deutsch,dubious,zweifelhaft
Englisch,Deutsch,ample,reichlich
Englisch,Deutsch,delve,vertiefen
Englisch,Deutsch,scrupulously,gewissenhaft
Englisch,Deutsch,culprit,Täter
Englisch,Deutsch,countervailing,Ausgleich
Englisch,Deutsch,rambunctious,wild
Englisch,Deutsch,persuasive,überzeugend
Englisch,Deutsch,predilection,Vorliebe
Englisch,Deutsch,predilation,Vorliebe
Englisch,Deutsch,dispense,dosieren
Englisch,Deutsch,unwarranted,ungerechtfertigt
Englisch,Deutsch,accentuate,akzentuieren
Englisch,Deutsch,strident,schrullig
Englisch,Deutsch,disdain,Verachtung
Englisch,Deutsch,disguise,Verkleidung
Englisch,Deutsch,repudiating,ablehnend
Englisch,Deutsch,retorts,erwidert
Englisch,Deutsch,reaffirmed,bekräftigt
Englisch,Deutsch,slated,geplant
Englisch,Deutsch,blithely,munter
Englisch,Deutsch,buttressed,gestützt
Englisch,Deutsch,ardent,leidenschaftlich
Englisch,Deutsch,peeved,verärgert
Englisch,Deutsch,acute,akut
Englisch,Deutsch,deterioration,Verschlechterung
Englisch,Deutsch,emerged,aufgetaucht
Englisch,Deutsch,repugnant,abstoßend
Englisch,Deutsch,curt,kurz
Englisch,Deutsch,inducement,Anreiz
Englisch,Deutsch,redeemed,eingelöst
Englisch,Deutsch,interlude,Zwischenspiel
Englisch,Deutsch,studious,fleißig
Englisch,Deutsch,meticulous,akribisch
Englisch,Deutsch,enamored,verliebt
Englisch,Deutsch,dissuaded,davon abgeraten
Englisch,Deutsch,permeates,durchdringt
Englisch,Deutsch,blurting out,etwas ausschwatzen
Englisch,Deutsch,incisive,einschneidend
Englisch,Deutsch,contagious,ansteckend
Englisch,Deutsch,inexorably,unerbittlich
